X1,X2,X3,X4,Y1,Y2,Y3,Y4
750,20,150,4,86.4255974267323,253.358768996905,56.5481527282322,548.330788653683
1250,20,150,4,87.3126977989859,258.155232444962,55.5114460086084,546.087023900158
1750,20,150,4,87.647555530432,261.249653959226,54.4748076305539,543.83946132464
250,40,150,4,68.3835771417676,202.650038586433,58.1720073892937,552.431415802865
750,40,150,4,69.1450076104493,207.283774219007,57.13543053509,550.192580959953
1250,40,150,4,69.6273795950066,211.026218751105,56.0987527902863,547.949555060638
1750,40,150,4,69.7834857729465,213.667527884121,55.062116512152,545.702646140175
250,60,150,4,59.7216476631135,179.099247308563,58.7592344137919,554.290661064473
750,60,150,4,59.9340166404469,182.260841651803,57.7227608552855,552.052752711088
1250,60,150,4,60.0155741017402,184.930462682323,56.6861595329478,549.810568302002
1750,60,150,4,59.9333719371612,186.936417274384,55.6495727935435,547.564415757187
250,80,150,4,59.4297952865263,177.449443845032,59.3463858655384,556.147927957444
750,80,150,4,59.1810872373594,179.339688712978,58.310063038478,553.911048503772
1250,80,150,4,58.8801983608899,180.956337935489,57.2735855757601,551.669808105726
250,20,300,4,74.1327161585309,217.379635051158,55.5671600992976,517.573450939811
750,20,300,4,74.390431332798,220.706446862162,54.5302957882188,515.331071546157
1250,20,300,4,74.2413909715101,222.810469614912,53.4934498164484,513.086096589423
1750,20,300,4,73.6593813463365,223.536292935559,52.4567645643416,510.838834372442
750,40,300,4,54.3823445339901,167.420883162908,55.1176852991971,517.193036394316
1250,40,300,4,53.7653713386874,168.306431019546,54.0808682961361,514.948800270637
1750,40,300,4,52.9744560197012,168.501991951839,53.0441851327148,512.702191679731
250,60,300,4,43.7150840532582,135.915718729886,56.7419248580866,521.295520234435
750,60,300,4,42.6312623944485,135.692045527203,55.705219697062,519.054891380335
1250,60,300,4,41.5610570974863,135.368292432492,54.668479116725,516.811496781337
250,80,300,4,41.2263493215675,128.474555287874,57.3293727128209,523.155980588448
750,80,300,4,39.614893764771,126.805262644335,56.2928183034511,520.916380870065
1250,80,300,4,38.1224304492189,125.324774995037,55.256201589361,518.673930371657
1750,80,300,4,36.7704121121673,124.004829161617,54.2196649194316,516.428937049612
250,20,450,4,66.787480910908,196.895113942781,53.5493405077692,484.571380897774
750,20,450,4,65.9647249995735,197.370639028247,52.5122920216543,482.326383245447
1750,20,450,4,63.324950256494,195.202621911002,50.4386695577173,477.833441649198
250,40,450,4,45.1323035937699,139.241006420359,54.1367590008542,486.432609185472
750,40,450,4,43.5142264188998,137.630911969921,53.0997663559399,484.188435420982
1250,40,450,4,41.8322735414866,135.721409431045,52.0628575362119,481.943091631438
1750,40,450,4,40.1128291789334,133.494790117753,51.0261749306447,479.696886170217
250,60,450,4,31.7178335904566,103.146904829648,54.7243672864466,488.295135660569
750,60,450,4,29.395262444768,99.6583431725339,53.6874779517006,486.051888565947
1250,60,450,4,27.2132524810101,96.4179846339125,52.6506455514571,483.807386296749
1750,60,450,4,25.2158928091785,93.4552308710195,51.614012464206,481.561937091168
250,80,450,4,27.0784706586091,90.0469153807232,55.3120846760287,490.158704596595
1250,80,450,4,21.5288287040343,80.468289761375,53.2386375732023,485.672928704217
1750,80,450,4,19.2215836879089,76.6591491363665,52.2021014384048,483.428338338767
250,20,600,4,63.212184048261,186.220607985277,51.5316037444049,451.56876918329
750,20,600,4,61.3848690667805,184.013864248562,50.494418544642,449.321255972066
1250,20,600,4,59.2824827221243,180.960421371289,49.4574364099287,447.074168537428
1750,20,600,4,56.9458214690017,177.081787799699,48.4207997393165,444.827815472305
250,40,600,4,39.555794163863,123.279193806453,52.1190801744665,453.429999660773
750,40,600,4,36.8609722246561,118.798167336898,51.0819508097883,451.183310248806
1750,40,600,4,31.5870172564488,109.708423520921,49.0083630229167,446.691261916962
250,60,600,4,24.090744445913,81.784017677798,52.7068387536999,455.29403897257
1250,60,600,4,17.4121717292367,69.278936012121,50.6329359298783,450.802768989473
1750,60,600,4,14.5220370975871,63.9640584766203,49.5963508299159,448.557825546383
250,80,600,4,17.4221055540285,63.3553310615411,53.2947987729611,457.160631184412
750,80,600,4,13.3199606638441,55.094673062763,52.257923489954,454.915897934845
1250,80,600,4,9.61782363748303,47.7925059630823,51.2211705829997,452.671334817771
1750,80,600,4,6.4130336790563,41.6204862543771,50.1846824196806,450.427250079709
250,20,150,8,55.4292577700523,167.82316039561,57.7181750920753,487.486428364222
750,20,150,8,57.1889497086413,174.958916179794,56.6812535055734,485.239328969088
1250,20,150,8,58.8909257258132,181.794276023749,55.6442517842826,482.991011198583
1750,20,150,8,60.4466813758802,188.0147683446,54.6073123299434,480.741783814548
250,40,150,8,42.4550278127543,132.935064264542,58.3058341390828,489.346113395093
1250,40,150,8,44.9652174140659,144.420431596877,56.2319956360256,484.852258707094
1750,40,150,8,46.3133086040342,150.11543115162,55.195058243667,482.603684902019
250,60,150,8,37.6444451916412,119.393974605873,58.8934921409613,491.206962795262
750,60,150,8,38.341066273058,123.711788711815,57.8567297132987,488.961613794849
1750,60,150,8,40.3186291443054,133.414782162448,55.7829454891651,484.467058877988
250,80,150,8,41.2309824593646,127.8451418588,59.4810684023631,493.068721068336
750,80,150,8,41.501930011196,130.988026803958,58.4444567346659,490.824401455149
1250,80,150,8,42.019998940004,134.664318500017,57.4076842570003,488.578608260525
1750,80,150,8,42.7387806332789,138.671836169512,56.3708933396236,486.331649899838
250,20,300,8,45.3820980781083,140.109682734514,55.7008240548046,454.487905942114
1250,20,300,8,46.5898145108794,148.201847126375,53.626529836841,449.988557386082
1750,20,300,8,47.168707108436,151.898145655132,52.5895434661594,447.739630171202
250,40,300,8,30.034832645457,98.9390342292856,56.2885948614125,456.347763852616
750,40,300,8,29.9790264828011,101.3226758827,55.2514974934506,454.09876727464
1250,40,300,8,30.138519881165,104.14734328375,54.2143854410586,451.849977739853
