X1,X2,X3,X4,Y1,Y2,Y3,Y4
750,20,150,4,82.8955134550903,247.452654526396,63.3550211901336,647.821210989288
1250,20,150,4,82.8137509638224,256.731843200031,64.5999186177025,718.692529058381
1750,20,150,4,81.7770807479087,262.450216125481,66.0090838220964,773.117425493219
250,40,150,4,65.075132691629,202.271603258597,57.1170230328798,548.108666811343
750,40,150,4,66.8899003411613,212.753489637372,58.7008175069046,608.426476956771
1250,40,150,4,67.7497602660478,219.674560267961,60.4488797577542,652.297865467943
1750,40,150,4,67.6547124662885,223.034815150365,62.3612097854287,679.722832344857
250,60,150,4,52.9633938759466,177.796822101191,52.4459871839807,571.652047251127
750,60,150,4,55.7197839416333,185.92059043692,54.5329464812861,604.969927838633
1250,60,150,4,57.5212662826742,190.483543024463,56.7841735554164,621.841386791881
1750,60,150,4,58.3678408990694,191.485679863821,59.1996684063716,622.266424110874
250,80,150,4,45.6871517746653,161.188306632356,48.2612839926921,631.133612605288
750,80,150,4,49.3851642565065,166.953956925039,50.8514081132782,637.451563634872
1250,80,150,4,52.1282690137017,169.158791469537,53.6058000106891,627.323093030199
250,20,300,4,71.5440719398696,202.916143508885,58.5588110224098,497.338917648213
750,20,300,4,70.8330454898132,215.707411438523,58.86034278212,579.890596123122
1250,20,300,4,69.1671113151111,224.937863619975,59.326142318655,645.995852963774
1750,20,300,4,66.5462694157632,230.607500053242,59.956209632015,695.65468817017
750,40,300,4,53.4892286060532,179.324204024252,55.5010719682134,548.310867077914
1250,40,300,4,52.7649168475055,186.196538162658,56.4700363280292,587.416194360643
1750,40,300,4,51.0856973643121,189.508056552879,57.6032684646698,610.075100009117
250,60,300,4,39.8086900544419,142.732230455007,51.320272405646,524.11750358802
750,60,300,4,40.9809084366944,150.807262298553,52.6281338119175,552.669322947084
1250,60,300,4,41.1982190943011,155.321478393913,54.1002629950138,564.774720671891
250,80,300,4,31.1942441833296,124.439672460926,48.4305020836799,591.41407392949
750,80,300,4,33.3080849817366,130.156586261425,50.241528313232,592.965963730632
1250,80,300,4,34.4670180554976,132.312684313739,52.2168223196091,578.071431897516
1750,80,300,4,34.671043404613,130.907966617868,54.3563841028111,546.730478430145
250,20,450,4,64.565758846259,173.128539902674,53.8637321893612,410.265315395681
750,20,450,4,62.2705607127683,185.871071340128,53.3861660580375,488.050932642148
1750,20,450,4,54.8154412718498,200.67368697048,52.9238371258647,594.282902232311
250,40,450,4,44.9421157765136,137.419408006201,51.2962294214965,413.500520895703
750,40,450,4,43.5885400591774,147.80382140061,51.3218281134534,464.286208584248
1250,40,450,4,41.2800566171955,154.627419046833,51.5116945822353,498.625474638536
1750,40,450,4,38.0166654505678,157.89020094487,51.865828827842,516.518319058567
